City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
215,Puerto Narino,CO,2020-03-01 16:41:29,-3.77,-70.38,80.6,94,75,4.7,light rain,0.0,0.0
216,Poltsamaa,EE,2020-03-01 16:41:29,58.65,25.97,39.99,80,37,10.29,light rain,0.13,0.0
217,Ejido,VE,2020-03-01 16:41:29,8.55,-71.24,55.18,87,98,3.67,light rain,0.19,0.0
218,Fort-Shevchenko,KZ,2020-03-01 16:41:29,44.51,50.26,37.89,75,100,16.44,overcast clouds,0.0,0.0
219,Son La,VN,2020-03-01 16:40:12,21.32,103.9,68.32,81,38,1.41,scattered clouds,0.0,0.0
220,Kodiak,US,2020-03-01 16:41:30,57.79,-152.41,37.4,69,75,12.75,broken clouds,0.0,0.0
221,Tual,ID,2020-03-01 16:41:30,-5.67,132.75,82.36,76,83,2.98,broken clouds,0.0,0.0
222,Narsaq,GL,2020-03-01 16:41:30,60.92,-46.05,8.6,32,0,2.98,clear sky,0.0,0.0
223,Cidreira,BR,2020-03-01 16:41:31,-30.18,-50.21,74.52,66,0,11.59,clear sky,0.0,0.0
224,Pangnirtung,CA,2020-03-01 16:41:31,66.15,-65.71,-18.33,83,15,2.21,few clouds,0.0,0.0
225,Lazaro Cardenas,MX,2020-03-01 16:41:31,17.96,-102.2,86.56,50,0,6.02,clear sky,0.0,0.0
226,Xiaolingwei,CN,2020-03-01 16:41:32,32.03,118.85,48.0,81,90,6.71,mist,0.0,0.0
227,Oktyabrskiy,RU,2020-03-01 16:41:32,54.48,53.47,20.53,89,74,5.99,broken clouds,0.0,0.0
228,San Cristobal,VE,2020-03-01 16:41:32,7.77,-72.22,80.6,65,40,5.82,scattered clouds,0.0,0.0
229,Si Satchanalai,TH,2020-03-01 16:41:32,17.52,99.76,87.01,47,0,0.4,clear sky,0.0,0.0
